20 10 31 20 23 13	285	6	1 	1023	0	1023	40 5	
20 10 31 20 23 18	287	6	1 	1023	0	1023	40 5	
20 10 31 20 23 25	289	6	1 	1023	0	1023	40 5	
20 10 31 20 23 30	291	6	1 	1023	0	1023	40 5	
20 10 31 20 23 34	293	6	1 	1023	0	1023	40 5	
20 10 31 20 23 39	295	6	1 	1023	0	1023	40 5	
20 10 31 20 23 43	297	6	1 	1023	0	1023	40 5	
20 10 31 20 23 48	299	6	1 	1023	0	1023	40 5	
20 10 31 20 23 52	301	6	1 	1023	0	1023	40 6	
20 10 31 20 23 57	303	6	1 	1023	0	1023	40 6	
20 10 31 20 24 1	305	1	2 	1023	0	1023	40 6	
20 10 31 20 24 13	307	1	2 	1023	0	1023	40 6	
20 10 31 20 24 17	309	1	2 	1023	0	1023	40 6	
20 10 31 20 24 22	311	1	2 	1023	0	1023	40 6	
20 10 31 20 24 26	313	1	2 	1023	0	1023	40 7	
20 10 31 20 24 31	315	1	2 	1023	0	1023	40 6	
20 10 31 20 24 35	317	1	2 	1023	0	1023	40 6	
20 10 31 20 24 40	319	1	2 	1023	0	1023	40 7	
20 10 31 20 24 44	321	1	2 	1023	0	1023	40 7	
20 10 31 20 24 49	323	1	2 	1023	0	1023	40 7	
20 10 31 20 24 53	325	1	2 	1023	0	1023	40 7	
20 10 31 20 24 58	327	1	2 	1023	0	1023	40 7	
20 10 31 20 25 2	329	2	2 	1023	0	1023	40 7	
20 10 31 20 25 7	331	2	2 	1023	0	1023	40 7	
20 10 31 20 25 11	333	2	2 	1023	0	1023	40 7	
20 10 31 20 25 15	335	2	2 	1023	0	1023	40 7	
20 10 31 20 25 20	337	2	2 	1023	0	1023	40 7	
20 10 31 20 25 24	339	2	2 	1023	0	1023	40 7	
20 10 31 20 25 29	341	2	2 	1023	0	1023	40 7	
20 10 31 20 25 33	343	2	2 	1023	0	1023	40 8	
20 10 31 20 25 38	345	2	2 	1023	0	1023	40 8	
20 10 31 20 25 42	347	2	2 	1023	0	1023	40 8	
20 10 31 20 25 47	349	2	2 	1023	0	1023	40 8	
20 10 31 20 25 51	351	2	2 	1023	0	1023	40 8	
20 10 31 20 25 56	353	2	2 	1023	0	1023	40 8	
20 10 31 20 26 0	355	3	2 	1023	0	1023	40 8	
20 10 31 20 26 5	357	3	2 	1023	0	1023	40 8	
20 10 31 20 26 9	359	3	2 	1023	0	1023	40 8	
20 10 31 20 26 14	361	3	2 	1023	0	1023	40 8	
20 10 31 20 26 18	363	3	2 	1023	0	1023	40 9	
20 10 31 20 26 23	365	3	2 	1023	0	1023	40 8	
20 10 31 20 26 27	367	3	2 	1023	0	1023	40 8	
20 10 31 20 26 32	369	3	2 	1023	0	1023	40 8	
20 10 31 20 26 36	371	3	2 	1023	0	1023	40 9	
20 10 31 20 26 41	373	3	2 	1023	0	1023	40 9	
20 10 31 20 26 45	375	3	2 	1023	0	1023	40 9	
20 10 31 20 26 50	377	3	2 	1023	0	1023	40 9	
20 10 31 20 26 54	379	3	2 	1023	0	1023	40 9	
20 10 31 20 26 59	381	3	2 	1023	0	1023	40 9	
